cliente_id,contrato_id,parcela_numero,valor_parcela,vencimento,valor_em_aberto,status,data_pagamento,observacao,emissao
029ef524e2,642,2.0,169.9,2025-12-05,169.9,ABERTA,,Pedido:642 NF:0 Moeda:REAL,2025-10-13
029ef524e2,642,3.0,169.9,2026-01-05,169.9,ABERTA,,Pedido:642 NF:0 Moeda:REAL,2025-10-13
029ef524e2,642,4.0,169.9,2026-02-05,169.9,ABERTA,,Pedido:642 NF:0 Moeda:REAL,2025-10-13
0390de880c,287,1.0,12.89,2025-09-05,12.89,ABERTA,,Pedido:287 NF:0 Moeda:REAL,2024-09-19
039a0453d2,,,298.66,2025-09-15,298.66,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-14
039a0453d2,,,400.0,2025-10-15,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-14
039a0453d2,,,400.0,2025-11-15,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-14
039a0453d2,,,400.0,2025-12-15,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-14
039a0453d2,,,400.0,2026-01-15,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-14
03b1cda3b3,16520,1.0,16.81,2025-02-25,16.81,ABERTA,,Pedido: NF: Moeda:REAL,2023-12-30
03f13b47a3,14,1.0,159.9,2025-01-05,159.9,ABERTA,,Pedido:14 NF:0 Moeda:REAL,2024-08-29
03f13b47a3,14,2.0,159.9,2025-02-05,159.9,ABERTA,,Pedido:14 NF:0 Moeda:REAL,2024-08-29
03f13b47a3,14,3.0,159.9,2025-03-05,159.9,ABERTA,,Pedido:14 NF:0 Moeda:REAL,2024-08-29
03f13b47a3,14,4.0,159.9,2025-04-05,159.9,ABERTA,,Pedido:14 NF:0 Moeda:REAL,2024-08-29
03f13b47a3,14,5.0,159.9,2025-05-05,159.9,ABERTA,,Pedido:14 NF:0 Moeda:REAL,2024-08-29
03f13b47a3,14,6.0,159.9,2025-06-05,159.9,ABERTA,,Pedido:14 NF:0 Moeda:REAL,2024-08-29
03f13b47a3,14,7.0,159.9,2025-07-05,159.9,ABERTA,,Pedido:14 NF:0 Moeda:REAL,2024-08-29
03f13b47a3,14,8.0,159.9,2025-08-05,159.9,ABERTA,,Pedido:14 NF:0 Moeda:REAL,2024-08-29
03f13b47a3,735,1.0,489.35,2025-01-02,489.35,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
03f13b47a3,735,2.0,490.0,2025-02-02,490.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
03f13b47a3,735,3.0,490.0,2025-03-02,490.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
03f13b47a3,735,4.0,490.0,2025-04-02,490.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
03f13b47a3,735,5.0,490.0,2025-05-02,490.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
03f13b47a3,735,6.0,490.0,2025-06-02,490.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
03f13b47a3,735,7.0,490.0,2025-07-02,490.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
03f13b47a3,735,8.0,490.0,2025-08-02,490.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
03f13b47a3,735,9.0,490.0,2025-09-02,490.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-31
044bd52867,569,1.0,36.0,2025-01-10,36.0,ABERTA,,Pedido:569 NF:0 Moeda:REAL,2024-10-26
044bd52867,569,2.0,44.0,2025-02-10,44.0,ABERTA,,Pedido:569 NF:0 Moeda:REAL,2024-10-26
044bd52867,569,3.0,44.0,2025-03-10,44.0,ABERTA,,Pedido:569 NF:0 Moeda:REAL,2024-10-26
044bd52867,569,4.0,44.0,2025-04-10,44.0,ABERTA,,Pedido:569 NF:0 Moeda:REAL,2024-10-26
0578032dda,,,18.65,2025-05-10,18.65,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-12-03
0578032dda,,,27.27,2025-06-01,27.27,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-03
0578032dda,,,17.43,2025-06-10,17.43,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-12-03
0578032dda,,,50.69,2025-07-01,50.69,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-03
0578032dda,,,17.09,2025-07-10,17.09,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-12-03
0578032dda,,,56.76,2025-08-01,56.76,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-03
0578032dda,,,17.09,2025-08-10,17.09,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-12-03
06574002df,1845,1.0,6.36,2025-07-05,6.36,ABERTA,,Pedido:1845 NF:0 Moeda:REAL,2025-05-21
06574002df,1845,2.0,149.9,2025-08-05,149.9,ABERTA,,Pedido:1845 NF:0 Moeda:REAL,2025-05-21
06574002df,1845,3.0,149.9,2025-09-05,149.9,ABERTA,,Pedido:1845 NF:0 Moeda:REAL,2025-05-21
06574002df,1845,4.0,6.36,2025-10-05,6.36,ABERTA,,Pedido:1845 NF:0 Moeda:REAL,2025-05-21
06574002df,1845,5.0,149.9,2025-11-05,149.9,ABERTA,,Pedido:1845 NF:0 Moeda:REAL,2025-05-21
06574002df,1845,6.0,149.9,2025-12-05,149.9,ABERTA,,Pedido:1845 NF:0 Moeda:REAL,2025-05-21
06574002df,1845,7.0,149.9,2026-01-05,149.9,ABERTA,,Pedido:1845 NF:0 Moeda:REAL,2025-05-21
06574002df,1845,8.0,149.9,2026-02-05,149.9,ABERTA,,Pedido:1845 NF:0 Moeda:REAL,2025-05-21
06574002df,1846,1.0,49.9,2025-06-10,49.9,ABERTA,,Pedido:1846 NF:0 Moeda:REAL,2025-05-21
06574002df,1846,2.0,19.84,2025-07-10,19.84,ABERTA,,Pedido:1846 NF:0 Moeda:REAL,2025-05-21
06574002df,1846,3.0,10.58,2025-08-10,10.58,ABERTA,,Pedido:1846 NF:0 Moeda:REAL,2025-05-21
06574002df,1846,4.0,27.29,2025-09-10,27.29,ABERTA,,Pedido:1846 NF:0 Moeda:REAL,2025-05-21
06574002df,1846,5.0,149.9,2025-10-10,149.9,ABERTA,,Pedido:1846 NF:0 Moeda:REAL,2025-05-21
06574002df,1846,6.0,4.6,2025-11-10,4.6,ABERTA,,Pedido:1846 NF:0 Moeda:REAL,2025-05-21
06574002df,1846,7.0,149.9,2025-12-10,149.9,ABERTA,,Pedido:1846 NF:0 Moeda:REAL,2025-05-21
06574002df,1846,8.0,149.9,2026-01-10,149.9,ABERTA,,Pedido:1846 NF:0 Moeda:REAL,2025-05-21
06574002df,,,500.0,2025-06-25,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-02-17
06574002df,,,500.0,2025-07-25,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-02-17
06574002df,,,500.0,2025-08-25,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-02-17
06574002df,,,500.0,2025-09-25,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-02-17
06574002df,,,500.0,2025-10-25,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-02-17
06574002df,,,500.0,2025-11-25,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-02-17
0689b863d6,20,1.0,200.0,2025-01-25,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-03-28
069428f9a7,2406,1.0,39.0,2025-12-10,39.0,ABERTA,,Pedido:2406 NF:0 Moeda:REAL,2025-08-06
069428f9a7,2406,2.0,39.0,2026-01-10,39.0,ABERTA,,Pedido:2406 NF:0 Moeda:REAL,2025-08-06
06c2cb6bd7,81611,1.0,4768.43,2025-09-14,4768.43,ABERTA,,Pedido: NF: Moeda:REAL,2025-07-22
078880d103,873,1.0,119.9,2025-01-25,119.9,ABERTA,,Pedido: NF: Moeda:REAL,2024-02-07
07a60e7cfd,0,1.0,2.03,2025-09-08,2.03,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-09-08
082098c11a,1194,1.0,13.75,2025-11-25,13.75,ABERTA,,Pedido:1194 NF:0 Moeda:REAL,2025-01-10
082098c11a,1194,2.0,59.9,2025-12-25,59.9,ABERTA,,Pedido:1194 NF:0 Moeda:REAL,2025-01-10
082098c11a,1194,3.0,59.9,2026-01-25,59.9,ABERTA,,Pedido:1194 NF:0 Moeda:REAL,2025-01-10
082098c11a,2001,1.0,159.0,2025-12-25,159.0,ABERTA,,Pedido:2001 NF:0 Moeda:REAL,2025-06-10
082098c11a,2001,2.0,159.0,2026-01-25,159.0,ABERTA,,Pedido:2001 NF:0 Moeda:REAL,2025-06-10
082098c11a,2358,1.0,69.9,2025-12-25,69.9,ABERTA,,Pedido:2358 NF:0 Moeda:REAL,2025-07-28
082098c11a,2358,2.0,69.9,2026-01-25,69.9,ABERTA,,Pedido:2358 NF:0 Moeda:REAL,2025-07-28
082a53c35c,2611,1.0,229.99,2026-01-10,229.99,ABERTA,,Pedido:2611 NF:0 Moeda:REAL,2025-09-12
098a201198,2695,1.0,200.0,2025-10-15,200.0,ABERTA,,Pedido:2695 NF:0 Moeda:REAL,2025-09-24
098a201198,2695,2.0,200.0,2025-11-15,200.0,ABERTA,,Pedido:2695 NF:0 Moeda:REAL,2025-09-24
098a201198,2695,3.0,200.0,2025-12-15,200.0,ABERTA,,Pedido:2695 NF:0 Moeda:REAL,2025-09-24
098a201198,2695,4.0,200.0,2026-01-15,200.0,ABERTA,,Pedido:2695 NF:0 Moeda:REAL,2025-09-24
098a201198,,,200.0,2025-01-12,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-11-14
098a201198,,,200.0,2025-02-12,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-11-14
098a201198,,,200.0,2025-03-12,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-11-14
098a201198,,,200.0,2025-04-12,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-11-14
098a201198,,,200.0,2025-05-12,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-11-14
098a201198,,,200.0,2025-06-12,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-11-14
098a201198,,,200.0,2025-07-12,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-11-14
098a201198,,,200.0,2025-08-12,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-11-14
09f7bdcac4,2813,1.0,49.9,2026-01-28,49.9,ABERTA,,Pedido:2813 NF:0 Moeda:REAL,2025-10-09
0a8d93547e,,,2.02,2025-07-10,2.02,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-11
0a8d93547e,,,9.09,2025-08-10,9.09,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-11
0a8d93547e,,,300.0,2025-09-10,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-11
0a8d93547e,,,300.0,2025-10-10,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-11
0a8d93547e,,,300.0,2025-11-10,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-11
0a8d93547e,,,300.0,2025-12-10,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-11
0a8d93547e,,,300.0,2026-01-10,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-11
0b2bd640a4,1838,1.0,1500.0,2025-05-23,1500.0,ABERTA,,Pedido:1838 NF:0 Moeda:REAL,2025-05-16
0c35804ecf,1722,1.0,179.0,2026-01-10,179.0,ABERTA,,Pedido:1722 NF:0 Moeda:REAL,2025-04-26
0cea6d0d89,1813,1.0,125.0,2026-01-10,125.0,ABERTA,,Pedido:1813 NF:0 Moeda:REAL,2025-05-09
0e40f5cf8b,1861,1.0,8.37,2025-07-24,8.37,ABERTA,,Pedido:1861 NF:0 Moeda:REAL,2025-05-23
0e40f5cf8b,906,1.0,265.0,2025-07-10,265.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-08-21
0e40f5cf8b,906,2.0,265.0,2025-08-10,265.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-08-21
0e81ace72d,2152,1.0,399.0,2026-02-01,399.0,ABERTA,,Pedido:2152 NF:0 Moeda:REAL,2025-06-28
0e81ace72d,2809,1.0,108.0,2026-02-01,108.0,ABERTA,,Pedido:2809 NF:0 Moeda:REAL,2025-10-09
0e8f285c3b,1273,1.0,65.0,2025-11-12,65.0,ABERTA,,Pedido:1273 NF:0 Moeda:REAL,2025-01-27
0e8f285c3b,1273,2.0,65.0,2025-12-12,65.0,ABERTA,,Pedido:1273 NF:0 Moeda:REAL,2025-01-27
0e8f285c3b,1273,3.0,65.0,2026-01-12,65.0,ABERTA,,Pedido:1273 NF:0 Moeda:REAL,2025-01-27
0ec666747d,,,500.0,2025-07-20,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-06-21
0ec666747d,,,500.0,2025-08-20,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-06-21
0ec666747d,,,500.0,2025-09-20,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-06-21
0ec666747d,,,500.0,2025-10-20,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-06-21
0ec666747d,,,500.0,2025-11-20,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-06-21
0ec666747d,,,500.0,2025-12-20,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-06-21
0ec666747d,,,500.0,2026-01-20,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-06-21
113e3faad6,1271,1.0,83.0,2025-11-25,83.0,ABERTA,,Pedido:1271 NF:0 Moeda:REAL,2025-01-25
113fdf0f27,,,400.0,2025-10-10,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-09-09
113fdf0f27,,,400.0,2025-11-10,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-09-09
113fdf0f27,,,400.0,2025-12-10,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-09-09
113fdf0f27,,,400.0,2026-01-10,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-09-09
13052ef779,2889,1.0,95.0,2026-01-25,95.0,ABERTA,,Pedido:2889 NF:0 Moeda:REAL,2025-10-24
131c74efb5,3188,1.0,20.01,2025-12-28,20.01,ABERTA,,Pedido:3188 NF:0 Moeda:REAL,2025-12-20
131c74efb5,,,250.0,2026-01-25,250.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-02-01
14457519a9,,,450.0,2026-01-10,450.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-10-16
1468a09f7b,1928,1.0,0.89,2025-09-10,0.89,ABERTA,,Pedido:1928 NF:0 Moeda:REAL,2025-06-03
1468a09f7b,1928,2.0,1.6,2026-01-10,1.6,ABERTA,,Pedido:1928 NF:0 Moeda:REAL,2025-06-03
147c7f824d,673,1.0,30.0,2025-07-25,30.0,ABERTA,,Pedido:673 NF:0 Moeda:REAL,2024-11-16
147c7f824d,673,2.0,55.0,2025-08-25,55.0,ABERTA,,Pedido:673 NF:0 Moeda:REAL,2024-11-16
147c7f824d,673,3.0,55.0,2025-09-25,55.0,ABERTA,,Pedido:673 NF:0 Moeda:REAL,2024-11-16
147c7f824d,673,4.0,55.0,2025-10-25,55.0,ABERTA,,Pedido:673 NF:0 Moeda:REAL,2024-11-16
147c7f824d,673,5.0,55.0,2025-11-25,55.0,ABERTA,,Pedido:673 NF:0 Moeda:REAL,2024-11-16
149d1b0e1a,,,295.0,2026-01-01,295.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-08-29
149d1b0e1a,,,295.0,2026-02-01,295.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-08-29
149f4e1e7a,15,1.0,129.9,2025-03-10,129.9,ABERTA,,Pedido:15 NF:0 Moeda:REAL,2024-08-29
149f4e1e7a,15,2.0,129.9,2025-04-10,129.9,ABERTA,,Pedido:15 NF:0 Moeda:REAL,2024-08-29
149f4e1e7a,15,3.0,129.9,2025-05-10,129.9,ABERTA,,Pedido:15 NF:0 Moeda:REAL,2024-08-29
149f4e1e7a,15,4.0,129.9,2025-06-10,129.9,ABERTA,,Pedido:15 NF:0 Moeda:REAL,2024-08-29
149f4e1e7a,15,5.0,129.9,2025-07-10,129.9,ABERTA,,Pedido:15 NF:0 Moeda:REAL,2024-08-29
149f4e1e7a,15,6.0,129.9,2025-08-10,129.9,ABERTA,,Pedido:15 NF:0 Moeda:REAL,2024-08-29
14befd1e72,2091,1.0,159.9,2026-01-15,159.9,ABERTA,,Pedido:2091 NF:0 Moeda:REAL,2025-06-21
14f018593d,,,500.0,2025-08-28,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-21
14f018593d,,,500.0,2025-09-28,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-21
14f018593d,,,500.0,2025-10-28,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-21
14f018593d,,,500.0,2025-11-28,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-21
14f018593d,,,500.0,2025-12-28,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-21
14f018593d,,,500.0,2026-01-28,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-21
169e9ae298,,,169.0,2025-04-10,169.0,ABERTA,,Pedido: NF: Moeda:REAL,2025-07-21
16abd1c3f4,0,1.0,190.0,2025-05-10,190.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-11-05
16abd1c3f4,,,237.44,2025-02-10,237.44,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-11-05
16abd1c3f4,,,400.0,2025-03-10,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-11-05
16abd1c3f4,,,400.0,2025-04-10,400.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-11-05
172eeda202,2739,1.0,99.9,2026-01-25,99.9,ABERTA,,Pedido:2739 NF:0 Moeda:REAL,2025-09-29
172eeda202,2879,1.0,40.0,2026-01-25,40.0,ABERTA,,Pedido:2879 NF:0 Moeda:REAL,2025-10-22
172eeda202,2920,1.0,165.0,2025-12-25,165.0,ABERTA,,Pedido:2920 NF:0 Moeda:REAL,2025-10-31
172eeda202,2920,2.0,165.0,2026-01-25,165.0,ABERTA,,Pedido:2920 NF:0 Moeda:REAL,2025-10-31
172eeda202,2936,1.0,45.0,2025-12-25,45.0,ABERTA,,Pedido:2936 NF:0 Moeda:REAL,2025-11-04
172eeda202,2936,2.0,45.0,2026-01-25,45.0,ABERTA,,Pedido:2936 NF:0 Moeda:REAL,2025-11-04
172eeda202,,,8.36,2026-01-25,8.36,ABERTA,,Pedido:0 NF: Moeda:REAL,2024-10-07
178b3ed57f,2776,1.0,54.0,2026-01-25,54.0,ABERTA,,Pedido:2776 NF:0 Moeda:REAL,2025-10-04
178b3ed57f,2885,1.0,1.16,2026-01-25,1.16,ABERTA,,Pedido:2885 NF:0 Moeda:REAL,2025-10-24
1864181747,,,500.0,2025-11-10,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-10
1864181747,,,500.0,2025-12-10,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-10
1864181747,,,500.0,2026-01-10,500.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-10
18735f00a1,2509,1.0,189.9,2026-01-25,189.9,ABERTA,,Pedido:2509 NF:0 Moeda:REAL,2025-08-23
1a0fd096f8,,,42.12,2025-09-05,42.12,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-04
1a0fd096f8,,,300.0,2025-10-05,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-04
1a0fd096f8,,,300.0,2025-11-05,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-04
1a0fd096f8,,,300.0,2025-12-05,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-04
1aa8ba5ed1,1889,1.0,75.0,2026-02-01,75.0,ABERTA,,Pedido:1889 NF:0 Moeda:REAL,2025-05-29
1abd37bc35,2654,1.0,299.8,2025-09-19,299.8,ABERTA,,Pedido:2654 NF:0 Moeda:REAL,2025-09-18
1abd37bc35,2655,1.0,299.8,2025-09-20,299.8,ABERTA,,Pedido:2655 NF:0 Moeda:REAL,2025-09-19
1b77a73d93,,,315.0,2025-04-10,315.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-22
1b77a73d93,,,315.0,2025-05-10,315.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-22
1b77a73d93,,,315.0,2025-06-10,315.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-22
1b77a73d93,,,315.0,2025-07-10,315.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-22
1b77a73d93,,,315.0,2025-08-10,315.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-22
1b77a73d93,,,315.0,2025-09-10,315.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-22
1b77a73d93,,,315.0,2025-10-10,315.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-03-22
1bfd09e284,694,1.0,9.83,2025-03-10,9.83,ABERTA,,Pedido:694 NF:0 Moeda:REAL,2024-11-21
1bfd09e284,934,1.0,38.27,2025-09-23,38.27,ABERTA,,Pedido:934 NF:0 Moeda:REAL,2024-12-19
1bfd09e284,934,2.0,39.9,2025-10-23,39.9,ABERTA,,Pedido:934 NF:0 Moeda:REAL,2024-12-19
1bfd09e284,934,3.0,39.9,2025-11-23,39.9,ABERTA,,Pedido:934 NF:0 Moeda:REAL,2024-12-19
1bfd09e284,934,4.0,39.9,2025-12-23,39.9,ABERTA,,Pedido:934 NF:0 Moeda:REAL,2024-12-19
1bfd09e284,962,1.0,200.0,2026-01-25,200.0,ABERTA,,Pedido:962 NF:0 Moeda:REAL,2024-12-24
1d5299fe7a,,,150.0,2025-04-07,150.0,ABERTA,,Pedido: NF: Moeda:REAL,2025-04-07
1d6f2035c3,2781,1.0,650.0,2026-01-25,650.0,ABERTA,,Pedido:2781 NF:0 Moeda:REAL,2025-10-04
1d7222dd5c,2172,1.0,4.97,2025-10-10,4.97,ABERTA,,Pedido:2172 NF:0 Moeda:REAL,2025-06-30
1d7222dd5c,2172,2.0,9.67,2025-11-10,9.67,ABERTA,,Pedido:2172 NF:0 Moeda:REAL,2025-06-30
1d7222dd5c,2172,3.0,99.9,2025-12-10,99.9,ABERTA,,Pedido:2172 NF:0 Moeda:REAL,2025-06-30
1d7222dd5c,2172,4.0,99.9,2026-01-10,99.9,ABERTA,,Pedido:2172 NF:0 Moeda:REAL,2025-06-30
1d7222dd5c,975,1.0,14.18,2025-10-10,14.18,ABERTA,,Pedido:975 NF:0 Moeda:REAL,2024-12-26
1d7222dd5c,975,2.0,5.66,2025-12-10,5.66,ABERTA,,Pedido:975 NF:0 Moeda:REAL,2024-12-26
1d8ac85840,,,202.48,2025-12-25,202.48,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-29
1d8ac85840,,,300.0,2026-01-25,300.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-04-29
1dd0dcd9a3,2250,1.0,130.0,2026-01-10,130.0,ABERTA,,Pedido:2250 NF:0 Moeda:REAL,2025-07-09
1dd0dcd9a3,2600,1.0,19.9,2025-10-10,19.9,ABERTA,,Pedido:2600 NF:0 Moeda:REAL,2025-09-10
1dd0dcd9a3,2600,2.0,19.9,2025-11-10,19.9,ABERTA,,Pedido:2600 NF:0 Moeda:REAL,2025-09-10
1dd0dcd9a3,2600,3.0,19.9,2025-12-10,19.9,ABERTA,,Pedido:2600 NF:0 Moeda:REAL,2025-09-10
1dd0dcd9a3,2600,4.0,19.9,2026-01-10,19.9,ABERTA,,Pedido:2600 NF:0 Moeda:REAL,2025-09-10
1e0914a7ac,1745,1.0,100.0,2026-01-25,100.0,ABERTA,,Pedido:1745 NF:0 Moeda:REAL,2025-04-30
1e9cfa4415,,,58.32,2025-09-30,58.32,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-19
1e9cfa4415,,,200.0,2025-10-30,200.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-19
1e9cfa4415,,,200.0,2025-11-30,200.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-19
1e9cfa4415,,,200.0,2026-01-30,200.0,ABERTA,,Pedido:0 NF: Moeda:REAL,2025-05-19
1ecd17f412,280569,1.0,183.87,2025-02-13,183.87,ABERTA,,Pedido:1359 NF:280569 Moeda:REAL,2025-02-13
1ecd17f412,283933,1.0,535.13,2025-04-17,535.13,ABERTA,,Pedido:1687 NF:283933 Moeda:REAL,2025-04-16
1f2ab83117,2812,1.0,11.92,2025-12-20,11.92,ABERTA,,Pedido:2812 NF:0 Moeda:REAL,2025-10-09
1ff836291d,2136,1.0,0.89,2025-08-05,0.89,ABERTA,,Pedido:2136 NF:0 Moeda:REAL,2025-06-26
1ff836291d,2136,2.0,4.73,2025-09-05,4.73,ABERTA,,Pedido:2136 NF:0 Moeda:REAL,2025-06-26
1ff836291d,2136,3.0,90.0,2025-10-05,90.0,ABERTA,,Pedido:2136 NF:0 Moeda:REAL,2025-06-26
1ff836291d,2136,4.0,90.0,2025-11-05,90.0,ABERTA,,Pedido:2136 NF:0 Moeda:REAL,2025-06-26
